"","CBX","data1_selection","data1_intersection","data1_infeasible","data2_selection","data2_intersection","data2_infeasible","data1_secretor_selection","data1_secretor_intersection","data1_secretor_infeasible","data2_secretor_selection","data2_secretor_intersection","data2_secretor_infeasible","background"
"1610","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1",11,NA,4224,NA,NA,4224,15,NA,4224,NA,NA,4224,21696
"1611","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0",3980,144,NA,483,144,NA,1037,NA,NA,NA,NA,NA,40896
"1612","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0",12,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,37056
"1613","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1",1197,NA,NA,59,NA,NA,664,NA,NA,138,NA,NA,43008
"1614","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0",8286,90,NA,234,90,NA,3097,NA,NA,992,NA,NA,44096
"1615","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0",423,NA,4288,18,NA,4288,489,NA,4288,221,NA,4288,27328
"1616","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1",616,NA,NA,77,NA,NA,178,NA,NA,112,NA,NA,21408
"1617","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0",1248,53,4608,282,53,4608,287,NA,4608,412,NA,4608,8864
"1618","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0",342,NA,NA,93,NA,NA,157,NA,NA,333,NA,NA,19232
"1619","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0",1138,43,4608,116,43,4608,306,NA,4608,212,NA,4608,8864
"1620","0_1_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0",345,NA,NA,63,NA,NA,156,NA,NA,300,NA,NA,19232
"1621","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1",925,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,25872
"1622","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0",3601,NA,NA,NA,NA,NA,1781,NA,NA,NA,NA,NA,27152
"1623","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0",218,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,24592
"1624","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1",751,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,24720
"1625","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0",3561,NA,NA,NA,NA,NA,1707,NA,NA,NA,NA,NA,27152
"1626","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0",178,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,24592
"1627","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1",213,NA,678,NA,NA,678,NA,NA,678,NA,NA,678,22032
"1628","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0",2880,NA,NA,NA,NA,NA,1456,NA,NA,NA,NA,NA,27152
"1629","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0",40,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,24592
"1630","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"1631","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0",2847,NA,NA,NA,NA,NA,1382,NA,NA,NA,NA,NA,27152
"1632","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,24592
"1633","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1",1155,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,25872
"1634","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0",3322,NA,NA,72,NA,NA,1500,NA,NA,NA,NA,NA,17168
"1635","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0",318,NA,1648,NA,NA,1648,148,NA,1648,6,NA,1648,10528
"1636","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1637","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0",402,NA,1776,91,NA,1776,173,NA,1776,6,NA,1776,3344
"1638","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0",228,NA,NA,NA,NA,NA,27,NA,NA,10,NA,NA,7424
"1639","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1640","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0",369,NA,1776,18,NA,1776,173,NA,1776,NA,NA,1776,3344
"1641","0_1_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0",231,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,7424
"1642","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1",925,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,25872
"1643","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0",3601,NA,NA,NA,NA,NA,1781,NA,NA,NA,NA,NA,27152
"1644","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_0_0",218,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,24592
"1645","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1",751,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,24720
"1646","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0",3561,NA,NA,NA,NA,NA,1707,NA,NA,NA,NA,NA,27152
"1647","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0",178,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,24592
"1648","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1",213,NA,37,NA,NA,37,NA,NA,37,NA,NA,37,22032
"1649","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0",2880,NA,NA,NA,NA,NA,1456,NA,NA,NA,NA,NA,27152
"1650","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0",40,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,24592
"1651","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"1652","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0",2847,NA,NA,NA,NA,NA,1382,NA,NA,NA,NA,NA,27152
"1653","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,24592
"1654","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1",1155,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,25872
"1655","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0",3322,NA,NA,72,NA,NA,1500,NA,NA,NA,NA,NA,17168
"1656","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0",318,NA,1648,NA,NA,1648,148,NA,1648,6,NA,1648,10528
"1657","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1658","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0",402,NA,1776,91,NA,1776,173,NA,1776,6,NA,1776,3344
"1659","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0",228,NA,NA,NA,NA,NA,27,NA,NA,10,NA,NA,7424
"1660","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1661","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0",369,NA,1776,18,NA,1776,173,NA,1776,NA,NA,1776,3344
"1662","0_1_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0",231,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,7424
"1663","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1",925,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,25872
"1664","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0",3601,NA,NA,NA,NA,NA,1781,NA,NA,NA,NA,NA,27152
"1665","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_0_0",218,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,24592
"1666","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1",751,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,24720
"1667","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0",3561,NA,NA,NA,NA,NA,1707,NA,NA,NA,NA,NA,27152
"1668","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0",178,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,24592
"1669","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22032
"1670","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0",2880,NA,NA,NA,NA,NA,1456,NA,NA,NA,NA,NA,27152
"1671","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0",40,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,24592
"1672","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"1673","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0",2847,NA,NA,NA,NA,NA,1382,NA,NA,NA,NA,NA,27152
"1674","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,24592
"1675","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1",1155,NA,NA,NA,NA,NA,402,NA,NA,NA,NA,NA,25872
"1676","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0",3322,NA,NA,72,NA,NA,1500,NA,NA,NA,NA,NA,17168
"1677","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0",318,NA,1648,NA,NA,1648,148,NA,1648,6,NA,1648,10528
"1678","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1679","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0",402,NA,1776,91,NA,1776,173,NA,1776,6,NA,1776,3344
"1680","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0",228,NA,NA,NA,NA,NA,27,NA,NA,10,NA,NA,7424
"1681","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12864
"1682","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0",369,NA,1776,18,NA,1776,173,NA,1776,NA,NA,1776,3344
"1683","0_1_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0",231,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,7424
"1684","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",1398,44,NA,3188,44,NA,1290,NA,NA,2480,NA,NA,43456
"1685","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",6854,1290,NA,7475,1290,NA,5031,816,NA,5240,816,NA,41536
"1686","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",436,83,NA,4613,83,NA,1036,202,NA,4196,202,NA,35776
"1687","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",1196,37,NA,3099,37,NA,1280,NA,NA,2499,NA,NA,41536
"1688","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",6790,1282,NA,7461,1282,NA,4871,804,NA,5212,804,NA,41536
"1689","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",404,81,NA,4602,81,NA,1018,192,NA,4184,192,NA,35776
"1690","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",497,14,NA,2972,14,NA,193,NA,NA,2555,NA,NA,37056
"1691","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",5636,1221,NA,7820,1221,NA,3901,723,NA,5666,723,NA,41536
"1692","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",250,72,NA,4754,72,NA,500,161,NA,4500,161,NA,35776
"1693","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",190,NA,4928,2658,NA,4928,183,NA,4928,2425,NA,4928,30208
"1694","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",5577,1216,NA,7813,1216,NA,3747,712,NA,5638,712,NA,41536
"1695","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",218,70,NA,4753,70,NA,486,156,NA,4491,156,NA,35776
"1696","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",1121,434,NA,4027,434,NA,904,282,NA,3345,282,NA,33216
"1697","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",4024,1056,NA,3705,1056,NA,1961,752,NA,3557,752,NA,21024
"1698","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",241,57,2240,955,57,2240,281,31,2240,1153,31,2240,11744
"1699","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",1008,493,NA,4589,493,NA,584,203,NA,3423,203,NA,18432
"1700","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",842,447,2528,1623,447,2528,436,195,2528,1409,195,2528,4288
"1701","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",370,193,NA,2657,193,NA,309,72,NA,2335,72,NA,9840
"1702","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",877,383,NA,4026,383,NA,490,162,NA,2961,162,NA,19232
"1703","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",721,291,2528,1219,291,2528,400,169,2528,1069,169,2528,4800
"1704","0_1_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",327,153,NA,2382,153,NA,284,63,NA,2136,63,NA,10256
"1705","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",554,NA,15344,NA,NA,15344,308,NA,15344,NA,NA,15344,23632
"1706","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",3058,72,13744,272,72,13744,1028,NA,13744,20,NA,13744,23312
"1707","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",85,NA,11184,NA,NA,11184,95,NA,11184,20,NA,11184,20112
"1708","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",498,NA,14672,NA,NA,14672,308,NA,14672,NA,NA,14672,22576
"1709","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",3044,72,13744,272,72,13744,1002,NA,13744,14,NA,13744,23312
"1710","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",81,NA,11184,NA,NA,11184,95,NA,11184,20,NA,11184,20112
"1711","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",155,NA,13104,NA,NA,13104,54,NA,13104,NA,NA,13104,20112
"1712","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",2459,72,13744,272,72,13744,702,NA,13744,18,NA,13744,23312
"1713","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",31,NA,11184,NA,NA,11184,8,NA,11184,22,NA,11184,20112
"1714","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",67,NA,15104,NA,NA,15104,54,NA,15104,NA,NA,15104,16384
"1715","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",2447,72,13744,273,72,13744,675,NA,13744,12,NA,13744,23312
"1716","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",27,NA,11184,NA,NA,11184,9,NA,11184,22,NA,11184,20112
"1717","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",172,NA,12464,65,NA,12464,74,NA,12464,77,NA,12464,21712
"1718","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",1966,NA,7600,14,NA,7600,364,NA,7600,416,NA,7600,13904
"1719","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",47,NA,6368,NA,NA,6368,38,NA,6368,78,NA,6368,8288
"1720","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",148,NA,6208,121,NA,6208,34,NA,6208,45,NA,6208,9984
"1721","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",230,8,3712,31,8,3712,30,NA,3712,82,NA,3712,2144
"1722","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",48,NA,3072,9,NA,3072,14,NA,3072,92,NA,3072,5392
"1723","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",146,NA,6208,121,NA,6208,16,NA,6208,45,NA,6208,10784
"1724","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",273,5,3712,9,5,3712,41,NA,3712,71,NA,3712,2656
"1725","0_1_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",48,NA,3072,9,NA,3072,11,NA,3072,91,NA,3072,5808
"1726","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1",226,NA,NA,124,NA,NA,440,NA,NA,32,NA,NA,21812
"1727","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0",2569,NA,NA,1871,NA,NA,924,74,NA,2229,74,NA,24372
"1728","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_1_0_0",88,NA,NA,1913,NA,NA,262,76,NA,2283,76,NA,23092
"1729","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1",222,NA,NA,120,NA,NA,440,NA,NA,28,NA,NA,20852
"1730","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0",2569,NA,NA,1865,NA,NA,914,72,NA,2221,72,NA,24372
"1731","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0",88,NA,NA,1907,NA,NA,262,76,NA,2275,76,NA,23092
"1732","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1",4,NA,NA,116,NA,NA,120,NA,NA,32,NA,NA,18612
"1733","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0",2151,NA,NA,2014,NA,NA,714,34,NA,2266,34,NA,24372
"1734","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,1968,NA,NA,78,36,NA,2343,36,NA,23092
"1735","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1",NA,NA,2476,127,NA,2476,120,NA,2476,44,NA,2476,15176
"1736","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0",2151,NA,NA,2010,NA,NA,704,32,NA,2258,32,NA,24372
"1737","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,1962,NA,NA,78,36,NA,2335,36,NA,23092
"1738","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1",214,188,NA,1615,188,NA,367,207,NA,1519,207,NA,21652
"1739","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0",2024,470,NA,1540,470,NA,721,430,NA,1710,430,NA,14932
"1740","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0",27,15,1644,556,15,1644,94,46,1644,885,46,1644,9032
"1741","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1",334,168,NA,1344,168,NA,216,216,NA,1300,216,NA,11824
"1742","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0",449,140,1708,630,140,1708,186,102,1708,720,102,1708,3268
"1743","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_1_0_0",111,39,NA,1050,39,NA,111,111,NA,1274,111,NA,7280
"1744","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_0_1",334,168,NA,1325,168,NA,216,216,NA,1300,216,NA,11824
"1745","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_1_0",417,144,1708,487,144,1708,186,102,1708,565,102,1708,3268
"1746","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_1_0_0",111,39,NA,1011,39,NA,111,111,NA,1240,111,NA,7280
"1747","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1",22,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,5376
"1748","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0",767,NA,NA,64,NA,NA,6,NA,NA,12,NA,NA,9264
"1749","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_1_0_0",2,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"1750","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1",22,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,5120
"1751","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0",767,NA,NA,64,NA,NA,6,NA,NA,12,NA,NA,9264
"1752","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0_0",2,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"1753","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,4464
"1754","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0",596,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,9264
"1755","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"1756","0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1",NA,NA,688,24,NA,688,NA,NA,688,NA,NA,688,3520
